 G S
-0005.47 G U
-0005.48 G U
-0005.50 G U
-0005.52 G U
-0005.53 G U
-0005.54 G U
-0005.55 G U
-0005.56 G U
-0005.58 G U
-0005.60 G U
-0005.62 G U
-0005.63 G U
-0005.65 G U
-0005.67 G U
-0005.69 G U
-0005.71 G U
-0005.73 G U
-0005.76 G U
-0005.79 G U
-0005.82 G U
-0005.86 G U
-0005.89 G U
-0005.93 G U
-0005.96 G U
-0005.99 G U
-0006.00 G U
-0006.01 G U
-0006.02 G U
-0006.02 G U
-0006.02 G S
-0006.04 G U
-0006.06 G U
-0006.09 G U
-0006.12 G U
-0006.16 G U
-0006.18 G U
-0006.21 G U
-0006.23 G U
-0006.26 G U
-0006.29 G U
-0006.32 G U
-0006.36 G U
-0006.39 G U
-0006.43 G U
-0006.46 G U
-0006.48 G U
-0006.50 G U
-0006.52 G U
-0006.53 G U
-0006.53 G U
-0006.53 G U
-0006.54 G S
-0006.54 G S
-0006.54 G S
-0006.55 G S
-0006.56 G U
-0006.58 G U
-0006.59 G U
-0006.61 G U
-0006.63 G U
-0006.65 G U
-0006.67 G U
-0006.69 G U
-0006.71 G U
-0006.72 G U
-0006.73 G U
-0006.74 G U
-0006.75 G U
-0006.75 G U
-0006.76 G S
-0006.77 G S
-0006.77 G S
-0006.78 G S
-0006.79 G S
-0006.80 G S
-0006.80 G S
-0006.81 G S
-0006.82 G S
-0006.82 G S
-0006.83 G S
-0006.83 G S
-0006.84 G S
-0006.84 G S
-0006.85 G S
-0006.85 G S
-0006.85 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.87 G S
-0006.87 G S
-0006.87 G S
-0006.88 G S
-0006.88 G S
-0006.89 G S
-0006.89 G S
-0006.90 G S
-0006.90 G S
-0006.91 G S
-0006.91 G S
-0006.92 G S
-0006.92 G S
-0006.92 G S
-0006.93 G S
-0006.93 G S
-0006.93 G S
-0006.94 G S
-0006.94 G S
-0006.94 G S
-0006.95 G S
-0006.95 G S
-0006.95 G S
-0006.95 G S
-0006.95 G S
-0006.95 G S
-0006.96 G S
-0006.96 G S
-0006.96 G S
-0006.96 G S
-0006.97 G S
-0006.97 G S
-0006.97 G S
-0006.98 G S
-0006.98 G S
-0006.99 G S
-0006.99 G S
-0006.99 G S
-0007.00 G S
-0007.00 G S
-0007.01 G S
-0007.01 G S
-0007.01 G S
-0007.02 G S
-0007.02 G S
-0007.02 G S
-0007.03 G S
-0007.03 G S
-0007.04 G S
-0007.04 G S
-0007.04 G S
-0007.05 G S
-0007.05 G S
-0007.05 G S
-0007.06 G S
-0007.06 G S
-0007.06 G S
-0007.06 G S
-0007.07 G S
-0007.07 G S
-0007.07 G S
-0007.08 G S
-0007.08 G S
-0007.08 G S
-0007.08 G S
-0007.09 G S
-0007.09 G S
-0007.09 G S
-0007.10 G S
-0007.10 G S
-0007.10 G S
-0007.10 G S
-0007.11 G S
-0007.11 G S
-0007.11 G S
-0007.11 G S
-0007.11 G S
-0007.12 G S
-0007.12 G S
-0007.12 G S
-0007.13 G S
-0007.13 G S
-0007.14 G S
-0007.14 G S
-0007.14 G S
-0007.15 G S
-0007.15 G S
-0007.16 G S
-0007.16 G S
-0007.17 G S
-0007.17 G S
-0007.17 G S
-0007.17 G S
-0007.17 G S
-0007.18 G S
-0007.18 G S
-0007.18 G S
-0007.18 G S
-0007.18 G S
-0007.19 G S
-0007.19 G S
-0007.19 G S
-0007.19 G S
-0007.20 G S
-0007.20 G S
-0007.21 G S
-0007.21 G S
-0007.21 G S
-0007.21 G S
-0007.22 G S
-0007.22 G S
-0007.22 G S
-0007.23 G S
-0007.23 G S
-0007.24 G S
-0007.24 G S
-0007.24 G S
-0007.24 G S
-0007.25 G S
-0007.25 G S
-0007.25 G S
-0007.25 G S
-0007.25 G S
-0007.25 G S
-0007.25 G S
-0007.25 G S
-0007.25 G S
-0007.26 G S
-0007.26 G S
-0007.26 G S
-0007.26 G S
-0007.27 G S
-0007.27 G S
-0007.27 G S
-0007.28 G S
-0007.28 G S
-0007.28 G S
-0007.29 G S
-0007.29 G S
-0007.29 G S
-0007.30 G S
-0007.30 G S
-0007.30 G S
-0007.30 G S
-0007.30 G S
-0007.30 G S
-0007.31 G S
-0007.31 G S
-0007.31 G S
-0007.31 G S
-0007.32 G S
-0007.32 G S
-0007.32 G S
-0007.33 G S
-0007.33 G S
-0007.33 G S
-0007.33 G S
-0007.34 G S
-0007.34 G S
-0007.34 G S
-0007.34 G S
-0007.35 G S
-0007.35 G S
-0007.35 G S
-0007.35 G S
-0007.35 G S
-0007.35 G S
-0007.36 G S
-0007.36 G S
-0007.36 G S
-0007.36 G S
-0007.36 G S
-0007.36 G S
-0007.36 G S
-0007.37 G S
-0007.37 G S
-0007.37 G S
-0007.37 G S
-0007.37 G S
-0007.38 G S
-0007.38 G S
-0007.39 G S
-0007.39 G S
-0007.39 G S
-0007.40 G S
-0007.40 G S
-0007.41 G S
-0007.41 G S
-0007.41 G S
-0007.42 G S
-0007.43 G S
-0007.43 G S
-0007.43 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.44 G S
-0007.45 G S
-0007.45 G S
-0007.46 G S
-0007.46 G S
-0007.47 G S
-0007.47 G S
-0007.47 G S
-0007.47 G S
-0007.47 G S
-0007.47 G S
-0007.48 G S
-0007.48 G S
-0007.48 G S
-0007.48 G S
-0007.49 G S
-0007.49 G S
-0007.49 G S
-0007.49 G S
-0007.50 G S
-0007.50 G S
-0007.50 G S
-0007.50 G S
-0007.50 G S
-0007.50 G S
-0007.50 G S
-0007.50 G S
-0007.50 G S
-0007.51 G S
-0007.51 G S
-0007.51 G S
-0007.52 G S
-0007.52 G S
-0007.52 G S
-0007.53 G S
-0007.53 G S
-0007.53 G S
-0007.54 G S
-0007.54 G S
-0007.54 G S
-0007.55 G S
-0007.55 G S
-0007.55 G S
-0007.56 G S
-0007.56 G S
-0007.56 G S
-0007.57 G S
-0007.57 G S
-0007.57 G S
-0007.57 G S
-0007.58 G S
-0007.58 G S
-0007.58 G S
-0007.58 G S
-0007.59 G S
-0007.59 G S
-0007.60 G S
-0007.60 G S
-0007.60 G S
-0007.61 G S
-0007.61 G S
-0007.61 G S
-0007.61 G S
-0007.62 G S
-0007.62 G S
-0007.62 G S
-0007.62 G S
-0007.62 G S
-0007.63 G S
-0007.63 G S
-0007.63 G S
-0007.63 G S
-0007.63 G S
-0007.63 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.64 G S
-0007.65 G S
-0007.65 G S
-0007.65 G S
-0007.66 G S
-0007.66 G S
-0007.67 G S
-0007.67 G S
-0007.68 G S
-0007.68 G S
-0007.68 G S
-0007.68 G S
-0007.68 G S
-0007.69 G S
-0007.69 G S
-0007.69 G S
-0007.69 G S
-0007.70 G S
-0007.70 G S
-0007.70 G S
-0007.71 G S
-0007.71 G S
-0007.71 G S
-0007.72 G S
-0007.72 G S
-0007.72 G S
-0007.72 G S
-0007.73 G S
-0007.73 G S
-0007.73 G S
-0007.73 G S
-0007.74 G S
-0007.74 G S
-0007.75 G S
-0007.75 G S
-0007.75 G S
-0007.75 G S
-0007.76 G S
-0007.76 G S
-0007.76 G S
-0007.76 G S
-0007.76 G S
-0007.76 G S
-0007.76 G S
-0007.76 G S
-0007.77 G S
-0007.77 G S
-0007.77 G S
-0007.78 G S
-0007.78 G S
-0007.79 G S
-0007.79 G S
-0007.79 G S
-0007.80 G S
-0007.80 G S
-0007.80 G S
-0007.80 G S
-0007.80 G S
-0007.80 G S
-0007.81 G S
-0007.81 G S
-0007.81 G S
-0007.82 G S
-0007.82 G S
-0007.82 G S
-0007.82 G S
-0007.82 G S
-0007.83 G S
-0007.83 G S
-0007.83 G S
-0007.83 G S
-0007.83 G S
-0007.83 G S
-0007.83 G S
-0007.84 G S
-0007.84 G S
-0007.85 G S
-0007.85 G S
-0007.85 G S
-0007.85 G S
-0007.85 G S
-0007.85 G S
-0007.85 G S
-0007.85 G S
-0007.85 G S
-0007.85 G S
-0007.86 G S
-0007.86 G S
-0007.86 G S
-0007.86 G S
-0007.87 G S
-0007.87 G S
-0007.88 G S
-0007.88 G S
-0007.89 G S
-0007.89 G S
-0007.90 G S
-0007.90 G S
-0007.90 G S
-0007.90 G S
-0007.90 G S
-0007.91 G S
-0007.91 G S
-0007.91 G S
-0007.91 G S
-0007.91 G S
-0007.92 G S
-0007.92 G S
-0007.93 G S
-0007.93 G S
-0007.93 G S
-0007.94 G S
-0007.94 G S
-0007.94 G S
-0007.95 G S
-0007.95 G S
-0007.96 G S
-0007.96 G S
-0007.97 G U
-0007.99 G U
-0007.99 G U
-0007.99 G U
-0007.96 G U
-0007.96 G U
-0007.96 G U
-0007.95 G U
-0007.96 G S
-0007.96 G S
-0007.98 G U
-0007.99 G U
-0007.99 G U
-0007.99 G U
-0007.99 G S
-0007.99 G S
-0007.99 G S
-0008.00 G S
-0008.00 G S
