 G S
-0006.30 G S
-0006.30 G S
-0006.31 G S
-0006.31 G S
-0006.32 G S
-0006.32 G S
-0006.32 G S
-0006.33 G S
-0006.33 G S
-0006.33 G S
-0006.33 G S
-0006.33 G S
-0006.33 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.35 G S
-0006.35 G S
-0006.35 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.34 G S
-0006.33 G S
-0006.32 G S
-0006.32 G S
-0006.32 G S
-0006.32 G S
-0006.32 G S
-0006.32 G S
-0006.33 G S
-0006.34 G S
-0006.35 G U
-0006.36 G U
-0006.37 G U
-0006.39 G U
-0006.40 G U
-0006.41 G U
-0006.41 G U
-0006.42 G U
-0006.42 G U
-0006.42 G S
-0006.42 G S
-0006.42 G S
-0006.42 G S
-0006.42 G S
-0006.43 G S
-0006.43 G S
-0006.43 G S
-0006.43 G S
-0006.43 G S
-0006.43 G S
-0006.43 G S
-0006.44 G S
-0006.45 G S
-0006.46 G S
-0006.47 G S
-0006.47 G S
-0006.48 G S
-0006.49 G S
-0006.49 G S
-0006.50 G S
-0006.50 G S
-0006.51 G S
-0006.51 G S
-0006.52 G S
-0006.52 G S
-0006.53 G S
-0006.54 G S
-0006.54 G S
-0006.55 G S
-0006.55 G S
-0006.55 G S
-0006.55 G S
-0006.55 G S
-0006.54 G S
-0006.54 G S
-0006.53 G S
-0006.51 G U
-0006.50 G U
-0006.49 G U
-0006.48 G U
-0006.47 G U
-0006.47 G U
-0006.47 G S
-0006.47 G S
-0006.47 G S
-0006.48 G S
-0006.48 G S
-0006.48 G S
-0006.48 G S
-0006.49 G S
-0006.49 G S
-0006.49 G S
-0006.49 G S
-0006.50 G S
-0006.50 G S
-0006.50 G S
-0006.50 G S
-0006.50 G S
-0006.50 G S
-0006.50 G S
-0006.51 G S
-0006.51 G S
-0006.51 G S
-0006.51 G S
-0006.51 G S
-0006.51 G S
-0006.50 G S
-0006.50 G S
-0006.50 G S
-0006.51 G S
-0006.51 G S
-0006.51 G S
-0006.52 G S
-0006.52 G S
-0006.52 G S
-0006.53 G S
-0006.53 G S
-0006.54 G S
-0006.54 G S
-0006.55 G S
-0006.55 G S
-0006.55 G S
-0006.55 G S
-0006.55 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.55 G S
-0006.55 G S
-0006.55 G S
-0006.55 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.56 G S
-0006.57 G S
-0006.57 G S
-0006.57 G S
-0006.58 G S
-0006.58 G S
-0006.59 G S
-0006.60 G S
-0006.61 G S
-0006.62 G S
-0006.62 G S
-0006.63 G S
-0006.64 G S
-0006.64 G S
-0006.64 G S
-0006.65 G S
-0006.65 G S
-0006.65 G S
-0006.65 G S
-0006.66 G S
-0006.66 G S
-0006.66 G S
-0006.66 G S
-0006.66 G S
-0006.66 G S
-0006.67 G S
-0006.67 G S
-0006.67 G S
-0006.68 G S
-0006.68 G S
-0006.69 G S
-0006.69 G S
-0006.70 G S
-0006.71 G S
-0006.72 G S
-0006.73 G S
-0006.74 G S
-0006.74 G S
-0006.75 G S
-0006.76 G S
-0006.76 G S
-0006.77 G S
-0006.77 G S
-0006.77 G S
-0006.77 G S
-0006.77 G S
-0006.77 G S
-0006.77 G S
-0006.77 G S
-0006.76 G S
-0006.76 G S
-0006.75 G S
-0006.75 G S
-0006.75 G S
-0006.75 G S
-0006.74 G S
-0006.74 G S
-0006.74 G S
-0006.74 G S
-0006.74 G S
-0006.74 G S
-0006.74 G S
-0006.74 G S
-0006.74 G S
-0006.74 G S
-0006.73 G S
-0006.73 G S
-0006.73 G S
-0006.73 G S
-0006.73 G S
-0006.72 G S
-0006.72 G S
-0006.72 G S
-0006.72 G S
-0006.72 G S
-0006.71 G S
-0006.71 G S
-0006.71 G S
-0006.71 G S
-0006.71 G S
-0006.72 G S
-0006.72 G S
-0006.73 G S
-0006.73 G S
-0006.74 G S
-0006.74 G S
-0006.75 G S
-0006.76 G S
-0006.77 G S
-0006.78 G S
-0006.78 G S
-0006.79 G S
-0006.80 G S
-0006.81 G S
-0006.81 G S
-0006.81 G S
-0006.81 G S
-0006.82 G S
-0006.82 G S
-0006.83 G S
-0006.83 G S
-0006.83 G S
-0006.84 G S
-0006.84 G S
-0006.85 G S
-0006.85 G S
-0006.85 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.86 G S
-0006.85 G S
-0006.85 G S
-0006.84 G S
-0006.84 G S
-0006.84 G S
-0006.84 G S
